id_cliente,genero,idoso,casado,possui_dependentes,tempo_como_cliente,servico_telefone,servico_internet,servico_seguranca,suporte_tecnico,streaming,tipo_contrato,metodo_pagamento,pagamento_mensal,total_pago,churn
5248-ygijn,m,False,True,True,72,True,dsl,True,yes,True,two year,credit card (automatic),71.45,6369.45,no
8773-hhuoz,female,False,True,True,17,True,dsl,True,no,True,month-to-month,mailed check,71.45,1093.1,yes
3841-nfecx,female,True,True,True,71,True,fiber optic,True,yes,True,two year,credit card (automatic),71.45,6766.95,no
4929-xihvw,male,True,True,True,2,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,181.65,no
6827-ieauq,female,False,True,True,27,True,dsl,True,yes,True,one year,mailed check,71.45,1874.45,no
7310-egvhz,male,False,True,True,1,True,no,True,no internet service,True,month-to-month,bank transfer (automatic),71.45,20.2,no
3413-bmnze,male,True,True,True,1,True,dsl,True,no,True,month-to-month,bank transfer (automatic),71.45,45.25,no
6234-raapl,female,False,True,True,72,True,fiber optic,True,yes,True,two year,bank transfer (automatic),71.45,7251.7,no
6047-yhpvi,male,False,True,True,5,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,316.9,yes
6572-adkrs,female,False,True,True,46,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,3548.3,no
5380-wjkov,male,False,True,True,34,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,3549.25,yes
8168-uqwwf,female,False,True,True,11,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,1105.4,yes
8865-tnmnx,male,False,True,True,10,True,dsl,True,no,True,one year,mailed check,71.45,475.7,no
9489-dedvp,female,False,True,True,70,True,dsl,True,no,True,two year,credit card (automatic),71.45,4872.35,no
9867-jczsp,female,False,True,True,17,True,no,True,no internet service,True,one year,mailed check,71.45,418.25,no
4671-vjlcl,female,False,True,True,63,True,dsl,True,yes,True,two year,credit card (automatic),71.45,4861.45,no
4080-iiard,female,False,True,True,13,True,dsl,True,yes,True,month-to-month,electronic check,71.45,981.45,no
3714-ntnfo,female,False,True,True,49,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,3906.7,no
5948-ujzlf,m,False,True,True,2,True,dsl,True,no,True,month-to-month,mailed check,71.45,97.0,no
7760-oypdy,f,False,True,True,2,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,144.15,yes
7639-liayi,male,False,True,True,52,True,dsl,True,yes,True,two year,credit card (automatic),71.45,4217.8,no
2954-pibko,female,False,True,True,69,True,dsl,True,yes,True,two year,credit card (automatic),71.45,4254.1,no
8012-soudq,female,True,True,True,43,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,3838.75,no
9420-lojkx,female,False,True,True,15,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,1426.4,yes
6575-suvoi,female,True,True,True,25,True,dsl,True,yes,True,month-to-month,credit card (automatic),71.45,1752.65,no
7495-ookfy,female,True,True,True,8,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,633.3,yes
4667-qonea,female,True,True,True,60,True,dsl,True,yes,True,one year,credit card (automatic),71.45,4456.35,no
1658-bygoy,male,True,True,True,18,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1752.55,yes
8769-kktph,f,False,True,True,63,True,fiber optic,True,no,True,one year,credit card (automatic),71.45,6311.2,no
5067-xjqfu,male,True,True,True,66,True,fiber optic,True,yes,True,one year,electronic check,71.45,7076.35,no
3957-sqxml,female,False,True,True,34,True,no,True,no internet service,True,two year,credit card (automatic),71.45,894.3,no
5954-bdfsg,female,False,True,True,72,True,fiber optic,True,yes,True,two year,credit card (automatic),71.45,7853.7,no
0434-csfon,female,False,True,True,47,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,4707.1,no
1215-figmp,male,False,True,True,60,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,5450.7,no
0526-sxdjp,male,False,True,True,72,True,dsl,True,no,True,two year,bank transfer (automatic),71.45,2962.0,no
0557-askvu,female,False,True,True,18,True,dsl,True,yes,True,one year,credit card (automatic),71.45,957.1,no
5698-bqjoh,female,False,True,True,9,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,857.25,yes
5122-cyfxa,female,False,True,True,3,True,dsl,True,yes,True,month-to-month,electronic check,71.45,244.1,no
8627-zygsz,male,False,True,True,47,True,fiber optic,True,no,True,one year,electronic check,71.45,3650.35,no
3410-yoqbq,female,False,True,True,31,True,dsl,True,yes,True,two year,mailed check,71.45,2497.2,no
3170-nmyvv,female,False,True,True,50,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,930.9,no
7410-oiedu,male,False,True,True,10,True,fiber optic,True,no,True,month-to-month,mailed check,71.45,887.35,no
2273-qckxa,male,False,True,True,1,True,dsl,True,yes,True,month-to-month,mailed check,71.45,49.05,no
0731-ebjqb,female,False,True,True,52,True,no,True,no internet service,True,one year,electronic check,71.45,1090.65,no
1891-qrqsa,male,True,True,True,64,True,fiber optic,True,yes,True,two year,bank transfer (automatic),71.45,7099.0,no
8028-pnxhq,male,False,True,True,62,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1424.6,no
5630-ahzil,female,False,True,True,3,True,dsl,True,yes,True,month-to-month,bank transfer (automatic),71.45,177.4,no
2673-cxqeu,female,True,True,True,56,True,fiber optic,True,no,True,one year,electronic check,71.45,6139.5,no
6416-jnvrk,female,False,True,True,46,True,dsl,True,no,True,one year,credit card (automatic),71.45,2688.85,no
5590-zskrv,female,False,True,True,8,True,dsl,True,no,True,month-to-month,mailed check,71.45,482.25,no
0191-zhskz,male,True,True,True,30,True,dsl,True,no,True,month-to-month,electronic check,71.45,2111.3,no
3887-pbqao,female,False,True,True,45,True,no,True,no internet service,True,one year,credit card (automatic),71.45,1216.6,no
5919-tmrgd,f,False,True,True,1,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,79.35,yes
8108-uxrqn,female,False,True,True,11,True,dsl,True,no,True,month-to-month,electronic check,71.45,565.35,no
9191-myqkx,female,False,True,True,7,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,496.9,yes
9919-ylnng,female,False,True,True,42,True,fiber optic,True,yes,True,month-to-month,bank transfer (automatic),71.45,4327.5,no
0318-zopws,female,False,True,True,49,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,973.35,no
4445-zjnmu,male,False,True,True,9,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,918.75,no
4808-ynleu,female,False,True,True,35,True,dsl,True,no,True,one year,bank transfer (automatic),71.45,2215.45,no
1862-qrwpe,female,False,True,True,48,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1057.0,no
2796-nnufi,female,False,True,True,46,True,no,True,no internet service,True,two year,mailed check,71.45,927.1,no
3016-ksvcp,male,False,True,True,29,True,dsl,True,no,True,month-to-month,mailed check,71.45,1009.25,no
4767-hzzhq,male,False,True,True,30,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,2570.2,no
2424-wvhpl,male,True,True,True,1,True,fiber optic,True,yes,True,month-to-month,electronic check,71.45,74.7,no
7233-pahhl,male,False,True,True,66,True,dsl,True,yes,True,two year,mailed check,71.45,5714.25,no
6067-ngceu,female,False,True,True,65,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,7107.0,no
9848-jqjtx,male,False,True,True,72,True,fiber optic,True,no,True,two year,bank transfer (automatic),71.45,7459.05,no
8637-xjivr,female,False,True,True,12,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,927.35,yes
9803-ftjcg,male,False,True,True,71,True,dsl,True,yes,True,one year,credit card (automatic),71.45,4748.7,no
0278-yxoog,male,False,True,True,5,True,no,True,no internet service,True,month-to-month,mailed check,71.45,113.85,yes
3212-kxocr,male,False,True,True,52,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1107.2,no
4598-xlknj,female,True,True,True,25,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,2514.5,yes
6380-arceh,male,False,True,True,1,True,no,True,no internet service,True,month-to-month,mailed check,71.45,20.2,no
3679-xaspy,female,False,True,True,1,True,no,True,no internet service,True,month-to-month,electronic check,71.45,19.45,no
7123-wquhx,male,False,True,True,38,True,fiber optic,True,yes,True,one year,bank transfer (automatic),71.45,3605.6,no
5386-thslq,female,True,True,True,66,True,dsl,True,no,True,one year,bank transfer (automatic),71.45,3027.25,no
3192-nqeca,male,False,True,True,68,True,fiber optic,True,yes,True,two year,bank transfer (automatic),71.45,7611.85,yes
6180-ybiqi,male,False,True,True,5,True,dsl,True,no,True,month-to-month,mailed check,71.45,100.2,no
6728-dkuco,f,False,True,True,72,True,fiber optic,True,no,True,one year,electronic check,71.45,7303.05,no
9750-boohv,female,False,True,True,32,True,dsl,True,no,True,one year,mailed check,71.45,927.65,no
8597-cwyhh,male,False,True,True,43,True,fiber optic,True,no,True,one year,mailed check,71.45,3921.3,no
2848-yxsmw,male,False,True,True,72,True,no,True,no internet service,True,two year,credit card (automatic),71.45,1363.25,no
0486-heczi,male,False,True,True,55,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,5238.9,yes
4549-zdqyy,female,False,True,True,52,True,dsl,True,yes,True,one year,credit card (automatic),71.45,3042.25,no
5712-ahqnn,female,False,True,True,43,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,3954.1,no
4846-whafz,female,True,True,True,37,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,2868.15,yes
5256-skjgo,female,False,True,True,64,True,dsl,True,yes,True,two year,electronic check,71.45,3423.5,no
3071-vbypo,male,False,True,True,3,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,248.4,no
9560-bbzxk,female,False,True,True,36,True,dsl,True,no,True,two year,bank transfer (automatic),71.45,1126.35,no
5299-ruloa,female,False,True,True,10,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1064.65,yes
8402-ooohj,female,False,True,True,41,True,no,True,no internet service,True,two year,mailed check,71.45,835.15,no
9445-zueqe,male,False,True,True,27,True,fiber optic,True,yes,True,month-to-month,credit card (automatic),71.45,2151.6,no
1091-sozga,female,False,True,True,56,True,fiber optic,True,no,True,one year,credit card (automatic),71.45,5515.45,no
2928-hldba,female,False,True,True,6,True,no,True,no internet service,True,month-to-month,mailed check,71.45,112.75,no
0404-swrvg,male,False,True,True,3,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,229.55,yes
6497-tilvl,female,False,True,True,7,True,dsl,True,no,True,month-to-month,mailed check,71.45,350.35,no
7219-tlzho,female,False,True,True,4,True,no,True,no internet service,True,month-to-month,mailed check,71.45,62.9,no
4622-ynkij,male,False,True,True,33,True,fiber optic,True,yes,True,two year,electronic check,71.45,3027.65,no
4412-yltkf,female,True,True,True,27,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,2135.5,yes
6734-psbaw,male,False,True,True,72,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1723.95,no
3930-zgwve,male,False,True,True,1,True,no,True,no internet service,True,month-to-month,mailed check,71.45,19.75,no
2639-ugmaz,male,True,True,True,71,True,dsl,True,no,True,one year,electronic check,71.45,3985.35,no
2876-gzyzc,female,False,True,True,13,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1215.65,no
6207-wiolx,female,False,True,True,25,True,dsl,True,no,True,month-to-month,credit card (automatic),71.45,1502.65,yes
8587-xyzsf,male,False,True,True,67,True,dsl,True,yes,True,two year,bank transfer (automatic),71.45,3260.1,no
3091-fyhki,male,False,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,35.45,yes
2372-hwuhi,male,False,True,True,2,True,dsl,True,no,True,month-to-month,electronic check,71.45,81.25,yes
7799-lgrdp,female,False,True,True,43,True,no,True,no internet service,True,two year,credit card (automatic),71.45,1188.2,no
7850-vwjuu,female,False,True,True,23,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,1778.5,no
3774-vbnxy,female,False,True,True,64,True,no,True,no internet service,True,two year,mailed check,71.45,1277.75,no
6217-kdywc,male,False,True,True,57,True,no,True,no internet service,True,two year,mailed check,71.45,1170.55,no
0390-dcfdq,female,True,True,True,1,True,fiber optic,True,no,True,month-to-month,mailed check,71.45,70.45,yes
3146-msegf,female,True,True,True,72,True,dsl,True,yes,True,two year,credit card (automatic),71.45,6425.65,no
4080-ogpjl,female,False,True,True,8,True,dsl,True,yes,True,month-to-month,electronic check,71.45,563.65,yes
1095-wgngg,female,False,True,True,61,True,fiber optic,True,no,True,two year,bank transfer (automatic),71.45,5971.25,no
2636-sjdou,male,False,True,True,64,True,fiber optic,True,no,True,one year,credit card (automatic),71.45,5289.05,no
1131-qqzeb,male,True,True,True,71,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1756.2,no
5716-ezxzn,female,False,True,True,65,True,fiber optic,True,yes,True,two year,credit card (automatic),71.45,6416.7,no
6837-bjydq,male,False,True,True,3,True,no,True,no internet service,True,one year,mailed check,71.45,61.35,no
2135-rxihg,male,False,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,45.65,yes
6440-dkqge,male,False,True,True,30,True,dsl,True,no,True,one year,credit card (automatic),71.45,1929.95,no
3466-byavd,male,False,True,True,15,True,dsl,True,yes,True,month-to-month,mailed check,71.45,1071.4,no
3780-yvmfa,female,False,True,True,8,True,dsl,True,yes,True,month-to-month,electronic check,71.45,564.35,no
3874-eqoep,male,False,True,True,7,True,fiber optic,True,no,True,month-to-month,mailed check,71.45,655.5,yes
1679-jrfbr,female,False,True,True,70,True,fiber optic,True,no,True,one year,credit card (automatic),71.45,7930.55,no
9073-zziay,male,False,True,True,62,True,dsl,True,yes,True,two year,electronic check,71.45,5215.25,no
3077-rsntj,female,False,True,True,6,True,no,True,no internet service,True,month-to-month,mailed check,71.45,113.5,no
6551-gnydg,female,False,True,True,14,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,1152.8,no
9167-apmxz,female,False,True,True,22,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,1821.95,no
2749-ctkaj,male,False,True,True,22,True,no,True,no internet service,True,one year,mailed check,71.45,419.9,no
6371-nzyeg,male,False,True,True,16,True,dsl,True,no,True,two year,mailed check,71.45,1024.0,no
7554-newdd,male,False,True,True,10,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,251.6,no
8992-vonjd,female,False,True,True,13,True,dsl,True,no,True,month-to-month,electronic check,71.45,764.55,no
0867-mkzvy,female,False,True,True,20,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1592.35,yes
4482-ewfmi,female,False,True,True,2,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,135.2,no
4648-ypbtm,male,False,True,True,53,True,dsl,True,yes,True,two year,bank transfer (automatic),71.45,3958.25,no
2907-iljbn,female,False,True,True,11,True,no,True,no internet service,True,one year,mailed check,71.45,233.9,no
6345-fzoqh,male,False,True,True,69,True,no,True,no internet service,True,two year,mailed check,71.45,1363.45,no
3376-bmgfe,female,False,True,True,4,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,273.0,yes
5997-opvfa,male,False,True,True,72,True,dsl,True,yes,True,two year,bank transfer (automatic),71.45,6254.45,no
3445-hxxgf,male,True,True,True,58,True,dsl,True,no,True,month-to-month,electronic check,71.45,2651.2,yes
1159-wfsgr,female,False,True,True,16,True,no,True,no internet service,True,month-to-month,electronic check,71.45,321.4,no
7654-ywjuf,male,False,True,True,43,True,fiber optic,True,yes,True,one year,bank transfer (automatic),71.45,3539.25,no
1875-qivme,female,False,True,True,2,True,fiber optic,True,yes,True,month-to-month,electronic check,71.45,242.8,yes
6727-iotlz,male,False,True,True,14,True,dsl,True,yes,True,two year,mailed check,71.45,1181.75,no
0691-jvsya,female,False,True,True,53,True,fiber optic,True,no,True,one year,bank transfer (automatic),71.45,5000.2,yes
5918-vukwp,female,False,True,True,32,True,no,True,no internet service,True,one year,bank transfer (automatic),71.45,654.55,no
1744-jhkys,female,False,True,True,34,True,no,True,no internet service,True,month-to-month,electronic check,71.45,780.2,no
2656-fmokz,female,True,True,True,15,True,fiber optic,True,no,True,month-to-month,mailed check,71.45,1145.7,yes
2070-fnexe,female,True,True,True,7,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,503.6,yes
5947-sgkcl,female,False,True,True,15,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,1559.25,no
3712-pkxza,male,False,True,True,61,True,no,True,no internet service,True,one year,credit card (automatic),71.45,1252.0,no
6317-ypkdh,female,False,True,True,1,True,dsl,True,no,True,month-to-month,bank transfer (automatic),71.45,29.95,yes
6582-oivsp,female,False,True,True,1,True,dsl,True,no,True,month-to-month,mailed check,71.45,45.3,no
9367-wxlch,male,False,True,True,8,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,662.65,yes
5524-khnjp,male,False,True,True,33,True,dsl,True,no,True,one year,credit card (automatic),71.45,2453.3,no
1918-zbfqj,female,False,True,True,13,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1111.65,yes
1024-guald,female,False,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,24.8,yes
4827-usjhp,male,False,True,True,20,True,dsl,True,no,True,month-to-month,mailed check,71.45,1023.85,no
8167-gjlrn,male,False,True,True,3,True,dsl,True,yes,True,month-to-month,electronic check,71.45,82.15,no
0956-sycwg,female,False,True,True,13,True,no,True,no internet service,True,one year,electronic check,71.45,244.8,no
8017-uvszu,female,False,True,True,40,True,dsl,True,no,True,month-to-month,credit card (automatic),71.45,2379.1,no
7100-fqprv,male,False,True,True,43,True,dsl,True,yes,True,one year,credit card (automatic),71.45,3173.35,no
2472-ovkup,male,False,True,True,6,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,531.0,yes
2984-rgeya,female,False,True,True,69,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1375.4,no
9680-niauv,female,False,True,True,72,True,fiber optic,True,no,True,two year,credit card (automatic),71.45,8129.3,no
2146-egvdt,male,False,True,True,59,True,no,True,no internet service,True,two year,credit card (automatic),71.45,1192.7,no
2604-ijpdu,female,False,True,True,20,True,fiber optic,True,yes,True,month-to-month,electronic check,71.45,1901.65,no
9178-jhuvj,male,False,True,True,24,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,587.4,no
6168-ybynp,male,False,True,True,59,True,fiber optic,True,yes,True,month-to-month,electronic check,71.45,6519.75,no
7255-ssfbc,male,False,True,True,72,True,fiber optic,True,yes,True,two year,bank transfer (automatic),71.45,8041.65,no
3645-deygf,male,False,True,True,1,True,no,True,no internet service,True,month-to-month,mailed check,71.45,20.75,no
9323-hgfwy,female,False,True,True,27,True,fiber optic,True,yes,True,one year,credit card (automatic),71.45,2681.15,no
8544-goqsh,female,False,True,True,14,True,fiber optic,True,yes,True,month-to-month,credit card (automatic),71.45,1112.3,no
3363-dtivd,male,False,True,True,71,True,fiber optic,True,no,True,two year,electronic check,71.45,7405.5,no
7018-wbjnk,male,False,True,True,13,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,1033.95,no
9142-kzxop,male,False,True,True,44,True,fiber optic,True,no,True,month-to-month,credit card (automatic),71.45,2958.95,no
7674-ytafd,female,False,True,True,33,True,fiber optic,True,yes,True,one year,bank transfer (automatic),71.45,2684.85,no
6348-snfus,male,False,True,True,72,True,dsl,True,yes,True,two year,credit card (automatic),71.45,4179.2,no
1285-okipp,male,False,True,True,1,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,79.9,yes
7825-ecjrf,female,False,True,True,19,True,fiber optic,True,yes,True,month-to-month,electronic check,71.45,1934.45,yes
1347-kttta,male,False,True,True,64,True,fiber optic,True,yes,True,one year,credit card (automatic),71.45,6654.1,no
7841-tzdmq,male,False,True,True,2,True,dsl,True,no,True,month-to-month,credit card (automatic),71.45,84.5,yes
4195-nzgta,female,False,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,25.25,no
7157-smcfk,male,False,True,True,61,True,no,True,no internet service,True,two year,mailed check,71.45,1124.2,no
4709-lkhyg,female,False,True,True,29,True,no,True,no internet service,True,one year,electronic check,71.45,540.05,no
2504-dshih,male,True,True,True,23,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1975.85,no
0699-ndkjm,female,False,True,True,57,True,dsl,True,no,True,month-to-month,bank transfer (automatic),71.45,3437.45,no
9286-bhdqg,male,False,True,True,72,True,dsl,True,yes,True,two year,credit card (automatic),71.45,3139.8,no
0230-wequw,male,False,True,True,66,True,dsl,True,yes,True,two year,bank transfer (automatic),71.45,3789.2,no
2040-ldiwq,male,False,True,True,65,True,dsl,True,yes,True,two year,bank transfer (automatic),71.45,5324.5,no
6496-jdssb,female,False,True,True,8,True,fiber optic,True,no,True,month-to-month,bank transfer (automatic),71.45,624.6,no
9408-ssnvz,female,False,True,True,4,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,268.35,yes
4443-embna,female,False,True,True,71,True,no,True,no internet service,True,two year,bank transfer (automatic),71.45,1836.9,no
6469-mrvet,male,False,True,True,1,True,no,True,no internet service,True,one year,electronic check,71.45,20.2,no
0742-moabm,male,False,True,True,4,True,dsl,True,yes,True,month-to-month,mailed check,71.45,179.35,yes
5961-vusrv,female,False,True,True,12,True,no,True,no internet service,True,one year,bank transfer (automatic),71.45,219.35,no
6778-jfcmk,male,False,True,True,24,True,dsl,True,no,True,one year,mailed check,71.45,1288.75,no
6341-jvqgf,female,False,True,True,31,True,dsl,True,yes,True,one year,mailed check,71.45,2545.75,no
2232-dmlxu,female,False,True,True,1,True,dsl,True,no,True,month-to-month,mailed check,71.45,55.2,yes
4811-jbuvu,male,False,True,True,30,True,fiber optic,True,yes,True,month-to-month,credit card (automatic),71.45,2723.15,no
0945-tsonx,female,False,True,True,47,True,dsl,True,yes,True,two year,credit card (automatic),71.45,4107.25,no
2651-zcbxv,male,False,True,True,54,True,fiber optic,True,yes,True,two year,credit card (automatic),71.45,5760.65,no
3316-uwxuy,male,False,True,True,50,True,fiber optic,True,yes,True,month-to-month,credit card (automatic),71.45,4747.5,no
8937-rdthp,male,False,True,True,1,True,fiber optic,True,no,True,month-to-month,mailed check,71.45,84.6,yes
7083-miopc,female,False,True,True,72,True,no,True,no internet service,True,two year,credit card (automatic),71.45,1566.9,no
1984-gpteh,female,False,True,True,29,True,no,True,no internet service,True,month-to-month,electronic check,71.45,702.0,no
1251-krreg,male,False,True,True,2,True,dsl,True,no,True,month-to-month,mailed check,71.45,114.1,yes
0621-jfhol,female,False,True,True,10,True,dsl,True,yes,True,two year,mailed check,71.45,299.05,no
9903-lysab,male,False,True,True,18,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1305.95,no
0094-oifmo,female,True,True,True,11,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1120.3,yes
9227-uaqft,male,False,True,True,16,True,no,True,no internet service,True,two year,mailed check,71.45,284.35,no
7301-abvad,female,False,True,True,72,True,dsl,True,yes,True,two year,bank transfer (automatic),71.45,6350.5,no
6614-fhdbo,male,False,True,True,72,True,fiber optic,True,yes,True,two year,bank transfer (automatic),71.45,7878.3,no
7576-aseju,female,False,True,True,41,True,dsl,True,yes,True,one year,credit card (automatic),71.45,3187.65,no
9058-hrzsv,female,True,True,True,65,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,6126.15,no
4522-akylr,female,True,True,True,13,True,dsl,True,no,True,month-to-month,electronic check,71.45,731.3,no
0221-wmxnq,male,True,True,True,4,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,273.4,no
0303-uncip,male,False,True,True,41,True,dsl,True,no,True,one year,mailed check,71.45,2531.8,no
9947-otfqu,male,True,True,True,15,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,1074.3,yes
0322-yinqp,male,False,True,True,1,True,dsl,True,no,True,month-to-month,mailed check,71.45,48.55,yes
0959-whokv,male,False,True,True,42,True,fiber optic,True,no,True,one year,electronic check,71.45,4298.45,no
4075-jfpgr,female,False,True,True,51,True,fiber optic,True,no,True,one year,electronic check,71.45,4619.55,no
4629-nrxkx,female,False,True,True,2,True,fiber optic,True,no,True,month-to-month,electronic check,71.45,147.15,yes
9514-jdski,male,True,True,True,1,True,dsl,True,no,True,month-to-month,electronic check,71.45,40.2,yes
3282-ziszv,male,False,True,True,32,True,dsl,True,yes,True,one year,credit card (automatic),71.45,2633.3,no
3675-ydupj,male,False,True,True,10,True,no,True,no internet service,True,month-to-month,mailed check,71.45,193.05,no
4111-bnxif,female,False,True,True,67,True,dsl,True,yes,True,two year,electronic check,71.45,4103.9,no
7017-vfhay,female,False,True,True,61,True,fiber optic,True,yes,True,two year,credit card (automatic),71.45,7008.15,no
6655-lhbyw,male,False,True,True,50,True,fiber optic,True,yes,True,one year,credit card (automatic),71.45,5791.1,no
4959-josrx,female,False,True,True,2,True,dsl,True,no,True,month-to-month,credit card (automatic),71.45,80.55,yes
5046-nuhwd,female,True,True,True,29,True,dsl,True,no,True,month-to-month,electronic check,71.45,1228.65,no
7273-tefqd,male,True,True,True,3,True,dsl,True,no,True,month-to-month,electronic check,71.45,132.2,yes
